"","web","s1","s2","s3","s4","s5","d1","d2","d3","d4","d5","d6","d7","d8"
"1","akatorea",115,14,0,789,1466,0,0,0,0,0,0,0,0
"2","akatoreb",63,18,0,338,497,0,0,0,0,0,0,0,0
"3","benguela",269,445,0,464,391,19,48,8,24,0,1,1,0
"4","berwick",132,14,0,855,1553,0,0,0,0,0,0,0,0
"5","blackrock",407,71,0,2507,1976,0,0,0,0,0,0,0,0
"6","bridgebrook",1931,629,0,6338,1539,30,111,0,21,0,4,0,0
"7","broad",641,16,0,5087,4151,0,0,0,0,0,0,0,0
"8","broom",527,358,0,275,3292,0,0,0,0,0,0,0,0
"9","bsq",5742,1202,0,10011,5736,0,0,0,0,0,0,0,0
"10","canton",717,116,0,6561,5976,0,0,0,0,0,0,0,0
"11","catlins",59,9,0,186,721,0,0,0,0,0,0,0,0
"12","caymen fw",22330,5965,0,53833,64365,0,0,0,0,0,0,0,0
"13","chesapeake",86,21,0,58,130,0,0,0,0,0,0,0,0
"14","coachella",311,638,0,424,317,103,139,96,91,11,24,39,7
"15","coweeta1",68,36,0,266,551,0,0,0,0,0,0,0,0
"16","coweeta17",86,26,0,421,822,0,0,0,0,0,0,0,0
"17","csm",4540,944,0,5545,5327,0,0,0,0,0,0,0,0
"18","cuban fw",23615,6220,0,56327,65677,0,0,0,0,0,0,0,0
"19","dempstersau",539,28,0,3215,2255,0,0,0,0,0,0,0,0
"20","dempsterssp",723,28,0,4054,4145,0,0,0,0,0,0,0,0
"21","dempsterssu",2464,567,0,10208,8210,0,0,0,0,0,0,0,0
"22","elverde",8571,2824,26,11485,10558,183,179,1170,2668,174,13,112,382
"23","epb",10931,1730,0,16385,11214,0,0,0,0,0,0,0,0
"24","flensburg",1653,571,0,3763,2712,0,0,0,0,0,0,0,0
"25","german",494,87,0,1876,2057,0,0,0,0,0,0,0,0
"26","grass",82,30,0,193,152,0,0,0,0,0,0,0,0
"27","healy",1108,267,0,5119,4929,0,0,0,0,0,0,0,0
"28","jamaican fw",24879,6989,0,61667,73176,0,0,0,0,0,0,0,0
"29","kyeburn",657,213,0,6381,4470,0,0,0,0,0,0,0,0
"30","lilkyeburn",654,35,0,2116,2026,0,0,0,0,0,0,0,0
"31","littlerock",12210,9148,0,39239,11325,383,1039,63,1061,30,40,27,21
"32","martins",498,114,0,1257,2195,0,0,0,0,0,0,0,0
"33","narrowdale",83,27,0,357,1208,0,0,0,0,0,0,0,0
"34","northcol",278,50,0,710,1731,0,0,0,0,0,0,0,0
"35","otago",5920,1950,0,10779,9177,182,211,272,634,0,16,22,36
"36","powder",270,38,0,945,1894,0,0,0,0,0,0,0,0
"37","quick",2990,3059,2,6332,1873,419,1219,297,660,38,123,195,53
"38","reef",1448,1694,9,2001,1103,147,219,147,354,56,17,55,16
"39","shelf",5978,11211,2,11458,7760,130,132,33,79,13,0,4,1
"40","skipwith",330,1169,0,1985,559,54,314,1,45,0,20,0,0
"41","stmarks",617,223,0,442,569,0,0,0,0,0,0,0,0
"42","stmartin",538,278,0,712,482,0,0,0,0,0,0,0,0
"43","stony",1035,124,0,8929,8208,0,0,0,0,0,0,0,0
"44","suttonau",206,16,0,2570,1554,0,0,0,0,0,0,0,0
"45","suttonsp",220,4,0,3467,2067,0,0,0,0,0,0,0,0
"46","suttonsu",312,6,0,6445,1728,0,0,0,0,0,0,0,0
"47","sylt",4489,1654,0,6938,7989,45,67,50,75,0,0,1,2
"48","troy",186,20,0,507,794,0,0,0,0,0,0,0,0
"49","venlaw",186,17,0,638,932,0,0,0,0,0,0,0,0
"50","ythan_nopar96",1247,362,0,1905,2551,13,4,21,8,0,0,0,0
